"ESTUDIO";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"TAMUNI";"ENTREV";"TIPO_TEL";"SEXO";"EDAD";"P0";"ADQUINAC";"PAISNAC";"PAISNAC2";"P1";"P2_1";"P2_2";"P2_3";"P2_4";"P2_5";"P2_6";"P2_7";"P2_8";"P3";"P4";"PAREJA";"P4A";"P4B";"P4C";"P4D";"P5";"P6_1";"P6_2";"P6_3";"P6_4";"P6_5";"P7_1";"P7_2";"P7_3";"P7_4";"P7_5";"P7_6";"P7_7";"P7_96";"P7_97";"P7_99";"P8";"P9";"P10";"P11";"P12";"PPERHOG";"HIJOS";"NUMHIJOS";"ESCIDEOL";"PROBVOTO";"INTENCIONG";"SIMPATIA";"PARTICIPACIONG";"RECUVOTOG";"RECUERDO";"ESCUELA";"NIVELESTENTREV";"ESTUDIOS";"RELIGION";"PRACTICARELIG6";"SITLAB";"RELALAB";"CNO11";"CNO11R";"INGRESHOG";"INGRESOSHOG2";"CLASESOCIAL";"CLASESUB";"SINCERIDAD";"PESO";"PESOCCAA";"P12R";"INTENCIONGR";"VOTOSIMG";"RECUVOTOGR";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_26";"IA_C2B_27";"IA_C2B_28";"IA_C2B_29";"IA_C2B_30";"IA_C2B_31";"IA_C2B_32";"IA_C2B_33";"IA_C2B_34";"IA_C2B_35";"IA_C2B_36";"IA_C2B_37";"IA_C2B_38";"IA_C2B_39";"IA_C2B_40";"IA_C2B_41";"IA_C2B_42";"IA_C2B_43";"IA_C2B_44";"IA_C2B_45";"IA_C3";"IA_C4"
3501;51;1;1;14;21;2;5;0;2;1;42;1;1;1;0;3;1;1;2;1;2;1;1;1;6;1;3;2012;2;1;1;2;1;1;4;5;1;1;1;1;1;2;1;1;2;2;2;15;5;4;4;1;4;1;2;3;3;1;0;1;21;21;3;13;6;5;0;1;1;2;2;9;6;5;4;2;0,49072;0,84828;1;1;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";23;1;25;4;19;1;1;1;0;1;6;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
3501;72;2;14;30;0;3;3;0;2;2;57;1;1;1;0;2;1;1;1;1;2;1;1;1;3;1;3;1989;1;1;1;1;1;2;2;4;2;1;1;1;1;2;1;1;2;2;2;2;1;4;2;1;4;1;2;3;10;9998;9998;1;21;21;3;6;4;2;3;1;1;5;5;7;5;12;5;2;0,84362;1,09227;1;9998;9998;21;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;1;0;0;76;0;0;1;0;36;3;"";"";22;1;25;3;12;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;130;3;1;23;50;2;5;0;2;1;53;1;1;1;0;2;2;2;2;1;2;1;1;1;7;2;4;0;0;0;0;2;1;2;5;5;1;1;1;1;1;1;1;1;1;2;2;13;1;3;5;1;1;2;0;3;10;8;0;1;1;1;3;11;6;5;0;4;0;0;16;5;0;3;2;1;0,4851;0,80233;1;8;8;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;15;0;0;0;0;11;1;"";"";22;1;25;3;11;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;157;4;12;36;57;3;5;0;2;1;59;1;1;1;0;1;2;1;1;1;2;1;1;1;1;1;2;1995;2;1;1;1;2;2;2;1;5;1;1;1;1;2;1;1;2;2;2;5;5;4;1;1;6;1;4;9;10;3;0;1;3;3;3;11;6;1;5;1;2;1;1;11;11;2;1;1;0,44503;0,73689;1;3;3;3;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;16;0;"";"";22;1;25;3;13;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;189;5;3;33;0;3;3;0;2;2;30;1;1;1;0;3;2;1;1;1;2;1;1;1;2;1;3;2017;1;1;4;2;1;1;5;4;1;1;1;1;1;2;1;2;2;2;2;2;1;4;1;1;2;2;0;4;10;9998;9;1;21;21;3;10;6;6;0;4;0;0;16;6;1;12;5;2;0,67353;1,01966;1;9998;21;21;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;28;1;0;0;0;16;0;"";"";22;1;25;3;11;2;1;0;0;1;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
3501;219;6;13;28;0;3;2;0;2;2;57;1;1;1;0;3;2;2;2;2;1;1;2;1;6;1;3;1983;1;1;1;3;1;2;1;4;1;1;1;1;1;1;1;1;1;2;2;1;1;4;2;1;3;1;3;8;10;2;0;1;2;2;3;7;5;2;2;2;0;0;12;6;3;4;3;1;0,60978;1,00438;1;2;2;2;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;19;2;"";"";22;1;25;3;15;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;235;7;1;23;50;2;5;0;2;2;53;1;1;1;0;3;2;1;2;2;2;1;1;1;3;1;3;1999;1;1;1;2;2;2;2;4;2;1;1;1;1;2;1;1;2;2;2;2;1;4;2;1;4;1;2;5;8;102;0;2;0;9997;3;9;6;2;2;1;1;4;4;9;6;3;2;1;0,50303;0,878;1;8995;8995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"";"";23;1;25;4;13;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;267;8;13;28;79;1;7;0;2;2;65;1;1;1;0;1;1;1;2;1;2;1;1;1;1;1;2;1989;1;1;1;1;1;2;4;5;1;1;1;1;1;2;1;2;2;2;2;1;1;4;1;1;3;1;2;4;10;1;0;1;1;1;3;9;6;2;2;2;0;0;12;10;6;3;2;1;0,3112;0,98953;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;19;0;0;0;0;14;0;"";"";22;1;25;3;14;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;283;9;14;30;16;3;5;0;2;1;54;1;1;1;0;2;1;1;1;1;1;1;1;1;4;2;4;0;0;0;0;2;2;1;5;4;2;1;1;1;1;1;1;2;2;2;2;15;5;4;4;1;1;1;1;10;10;2;0;1;9999;9999;3;11;6;2;2;1;3;2;2;6;0;3;2;1;0,47385;1,0201;1;2;2;9999;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;10;0;0;0;0;4;0;"";"";22;1;25;3;13;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3501;378;10;10;3;65;3;5;0;2;1;26;1;1;1;0;3;1;1;2;1;2;1;1;1;2;1;3;2020;1;1;4;2;2;5;4;5;2;2;1;1;1;1;1;1;1;2;2;15;1;4;1;2;2;2;0;3;10;1;0;1;1;1;3;10;6;5;0;1;1;5;5;7;5;3;2;1;0,43363;0,93674;2;1;1;1;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;1;0;34;0;0;0;0;27;2;"";"";22;1;25;3;13;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
