"ESTUDIO";"ENTREV";"REGISTRO";"CUES";"TIPO_TEL";"CCAA";"PROV";"MUN";"TAMUNI";"CAPITAL";"SEXO";"EDAD";"NACIONALIDAD";"ADQUINAC";"PAISNAC";"PAISNAC2";"P1";"P2";"P3";"P4_1";"P4_2";"P4_3";"P4_4";"P4_5";"P4_6";"P4_7";"P5";"P6";"P7";"P8";"P9";"P10";"P10A";"P11";"P12";"P13";"P14";"P15_A_1";"P15_A_2";"P15_A_3";"P15_A_4";"P15_A_5";"P15_A_6";"P15_B_1";"P15_B_2";"P15_B_3";"P15_B_4";"P15_B_5";"P15_B_6";"P16";"P17";"P18_A_1";"P18_A_2";"P18_A_3";"P18_A_4";"P18_B_1";"P18_B_2";"P18_B_3";"P18_B_4";"P19";"P20";"P21_1";"P21_2";"P21_3";"P22_A_1";"P22_A_2";"P22_A_3";"P22_A_4";"P22_A_5";"P22_A_6";"P22_A_7";"P22_B_1";"P22_B_2";"P22_B_3";"P22_B_4";"P22_B_5";"P22_B_6";"P22_B_7";"ESCIDEOL";"PROBVOTO";"INTENCIONGR";"SIMPATIA";"VOTOSIMGR";"PREFPTE";"P28";"PARTICIPACIONG";"RECUVOTOG";"CERCANIA";"CERCANIAR2";"ESCUELA";"NIVELESTENTREV";"RELIGION";"PRACTICARELIG6";"ECIVIL";"SITLAB";"RELALAB";"CNO11";"INGRESHOG";"CLASESOCIAL";"SINCERIDAD";"V2_1";"V2_2";"V2_3";"V3";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_26";"IA_C2B_27";"IA_C2B_28";"IA_C2B_29";"IA_C2B_30";"IA_C2B_31";"IA_C2B_32";"IA_C2B_33";"IA_C2B_34";"IA_C2B_35";"IA_C2B_36";"IA_C2B_37";"IA_C2B_38";"IA_C2B_39";"IA_C2B_40";"IA_C2B_41";"IA_C2B_42";"IA_C2B_43";"IA_C2B_44";"IA_C2B_45";"IA_C3";"IA_C4";"INTENCIONG";"SIMPATIAR";"VOTOSIMG";"RECUVOTOGR";"RECUERDO";"CERCANIAR";"ESTUDIOS";"CNO11R";"CLASESUB";"PESO";"PESOCCAA"
3555;0;8496;254;1;1;4;0;3;3;1;50;1;1;1;0;2;1;2;1;2;4;2;1;1;1;2;0;0;0;1;4;1;1;0;1;1;2;2;2;2;2;2;0;0;0;0;0;0;3;1;1;1;1;2;3;3;3;0;1;4;4;2;2;1;1;2;1;1;1;1;1;1;0;1;1;2;1;8;10;3;0;3;14;5;1;3;3;3;3;7;5;0;2;2;0;0;6;12;2;2;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1;0;0;1;15;0;"";"";6;3;26;5;15;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3;0;3;3;3;3;5;12;5;0,53392;0,94302
3555;0;121211;3148;2;1;4;0;3;3;2;51;1;1;1;0;2;1;1;4;2;4;1;2;2;2;1;1;1;0;0;0;0;1;0;1;2;2;2;2;2;2;2;0;0;0;0;0;0;4;1;1;1;1;1;4;4;2;2;1;4;4;2;4;1;1;2;1;1;1;1;1;1;0;1;1;1;1;4;10;1;0;1;1;2;1;1;1;1;3;11;1;4;1;1;1;3;3;5;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;"";"";10;3;26;2;18;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;1;1;1;1;6;3;4;0,60755;0,95497
3555;0;19581;584;1;1;4;13;5;2;1;78;1;1;1;0;2;2;1;1;2;1;2;3;4;3;2;0;0;0;1;5;0;1;0;1;1;2;2;2;2;2;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;4;3;5;5;1;2;2;2;1;1;2;1;0;0;0;1;1;0;8;0;9997;3;3;3;5;2;0;3;3;3;11;2;3;4;2;0;0;3;3;2;2;2;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;13;0;"";"";6;3;26;5;15;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9997;3;3;0;9997;3;6;12;2;0,37211;1,03876
3555;0;20384;611;2;1;4;13;5;2;1;72;1;1;1;0;1;1;2;2;1;4;1;8;1;1;1;1;1;0;0;0;0;1;0;1;1;2;2;2;2;2;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;4;4;4;2;1;1;2;1;1;1;1;1;1;0;1;1;1;1;3;10;1;0;1;1;1;1;1;1;1;3;9;4;0;1;2;0;0;3;5;1;2;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;15;0;0;0;0;13;0;"";"";6;3;26;5;13;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;1;1;1;1;6;12;4;0,3605;0,77875
3555;0;35941;1044;2;1;4;13;5;2;1;61;1;1;1;0;2;2;1;9;2;2;2;2;2;9;2;0;0;0;2;2;1;2;9;1;1;2;2;2;2;2;2;0;0;0;0;0;0;9;2;0;0;0;0;0;0;0;0;0;4;4;9;9;2;2;2;9;9;2;2;0;0;0;0;0;0;0;99;10;9998;1;1;99;9;1;1;9999;0;3;10;1;4;2;2;0;0;6;96;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";6;3;26;5;28;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9998;1;1;1;1;9999;6;12;6;0,41066;0,8274
3555;0;40365;1183;1;1;4;13;5;2;2;79;1;1;1;0;1;1;2;2;2;2;5;8;1;1;2;0;0;0;2;5;0;2;99;1;2;8;2;2;2;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;8;1;2;1;1;2;1;1;1;1;1;8;0;2;1;2;2;98;0;9997;9997;0;98;2;2;0;9997;0;3;6;2;1;3;3;0;0;6;98;2;2;2;2;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;14;0;"";"";7;3;26;6;21;1;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;9997;9997;9997;0;9997;9997;4;15;8;0,77154;1,7104
3555;0;44748;1318;2;1;4;13;5;2;1;68;1;1;1;0;1;4;1;1;2;1;1;1;1;1;1;1;2;2;0;0;0;1;0;1;1;2;2;2;2;2;2;0;0;0;0;0;0;4;1;1;1;1;2;2;2;2;0;5;4;5;1;1;1;1;1;1;1;2;1;1;1;1;1;1;0;1;10;10;3;0;3;3;5;1;2;3;3;3;6;1;1;3;2;0;0;2;3;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;11;0;0;0;0;17;0;"";"";7;3;26;6;19;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3;0;3;2;2;3;4;12;2;0,65381;0,77875
3555;0;52202;1520;2;1;4;13;5;2;1;57;1;1;1;0;1;1;1;4;1;4;1;8;1;4;1;1;1;0;0;0;0;1;0;1;1;2;2;2;2;2;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;4;5;4;5;1;1;1;1;1;1;1;1;1;9;1;1;1;1;6;10;1;0;1;98;1;1;1;1;1;3;8;2;1;2;1;1;2;3;3;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;9;0;"";"";7;3;26;6;17;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;1;1;1;1;6;2;2;0,41066;0,8274
3555;0;65189;1847;2;1;4;13;5;2;1;56;1;1;1;0;2;1;1;1;2;2;2;2;2;1;1;1;1;0;0;0;0;1;0;1;1;2;2;2;2;2;2;0;0;0;0;0;0;4;1;2;1;1;2;0;2;2;0;2;9;4;1;2;1;1;2;1;1;1;2;1;1;0;1;1;2;0;6;9;2;0;2;2;4;1;2;2;2;3;8;4;0;1;1;1;2;3;3;1;2;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;6;0;"";"";9;3;26;1;12;2;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;2;0;2;2;2;2;6;2;2;0,41066;0,8274
3555;0;81526;2298;2;1;4;13;5;2;1;55;3;0;2;228;2;2;1;4;2;2;2;4;2;2;1;1;1;0;0;0;0;1;0;1;1;2;2;2;2;2;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;4;4;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;5;97;0;0;0;0;0;0;0;2;2;3;11;3;1;1;1;1;9;5;3;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;"";"";9;3;26;1;15;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;2;6;9;2;0,41066;0,8274
